ticker,longName,logo_url,close_price,total,environmental,social,governance,controversy,minority_pct,primary_school,high_school,hs_diploma,some_college,bsba,income_l15,income_15_25,income_25_50,income_50_75,income_p75,pm25,ozone,nata_dieselpm,nata_cancerrisk,nata_resphi,traffic_prox,lead_paint,rmp_prox,superfund_prox,hazardwaste_prox,waterdischarge_prox,beat0,beat1,beat2,beat3
UNP,Union Pacific Corporation,https://logo.clearbit.com/up.com,201.47,25.0,9.0,12.0,4.0,2.0,45,10,11,31,29,20,24,15,31,16,15,25.2,28.4,10.4,28.4,25.5,3.6,5.8,0.1,1.6,10.7,24.5,0,0,1,1
UPS,"United Parcel Service, Inc.",https://logo.clearbit.com/ups.com,190.03,21.0,6.0,9.0,6.0,3.0,39,2.57,1.82,11.68,16.76,67.17,5.11,5.61,17.59,18.51,53.18,59.2,59.1,59.7,59.2,59.2,66.2,62.9,58.9,58.5,61.5,78.6,0,1,0,1
VLO,Valero Energy Corporation,https://logo.clearbit.com/valero.com,65.6,28.0,16.0,7.0,5.0,3.0,56,2.81,2.11,13.04,33.08,48.99,11.58,7.3,18.55,16.88,45.7,98.5,98.6,95.2,98.1,97.2,79.3,62.8,78.3,95.6,92.4,89.7,0,1,1,1
VRSN,"VeriSign, Inc.",https://logo.clearbit.com/verisign.com,218.77,22.0,3.0,13.0,6.0,1.0,46,3.99,3.1,11.89,16.23,64.8,3.39,3.3,8.82,11.17,73.32,24.5,24.7,9.9,21.5,21.4,2.1,62.8,26.1,20.0,6.3,6.7,0,1,0,1
VRTX,Vertex Pharmaceuticals Incorporated,https://logo.clearbit.com/vrtx.com,188.3,25.0,0.0,17.0,8.0,2.0,46,8.9,5.6,16.31,13.27,55.93,17.24,7.63,14,12.15,48.98,5.9,4.6,0.1,2.7,2.0,0.1,2.0,1.1,11.4,0.2,17.1,0,0,0,1
WMT,Walmart Inc.,https://logo.clearbit.com/stock.walmart.com,144.73,27.0,3.0,17.0,7.0,4.0,31,7.9,6.7,27.58,24.66,33.15,10.89,10.42,25.07,18.72,34.89,73.3,72.9,74.5,73.2,73.1,83.9,66.8,83.5,65.9,88.0,84.3,0,0,0,1
WM,"Waste Management, Inc.",https://logo.clearbit.com/wm.com,152.68,15.0,8.0,4.0,4.0,2.0,64,13,11,18,19,39,20,12,21,14,33,29.0,37.5,6.3,24.0,22.4,4.7,4.9,3.1,3.1,3.3,2.4,1,1,0,0
WAT,Waters Corporation,https://logo.clearbit.com/waters.com,396.58,18.0,1.0,11.0,6.0,0.0,15,3.92,5.22,24.58,27.37,38.9,6.65,7,14.85,13.15,58.35,10.6,6.9,12.8,9.1,9.9,1.2,3.4,2.7,7.4,1.1,15.7,0,1,1,0
WFC,Wells Fargo & Company,https://logo.clearbit.com/wellsfargo.com,46.47,33.0,1.0,16.0,16.0,5.0,49,6.11,3.96,10.24,15.82,63.88,13.22,7.2,11.42,8.74,59.42,73.1,66.7,89.2,72.4,75.5,97.1,87.3,68.3,80.8,93.8,73.4,1,0,1,0
WDC,Western Digital Corporation,https://logo.clearbit.com/westerndigital.com,57.92,12.0,2.0,4.0,6.0,1.0,65,5.74,5.97,16.74,29.59,41.97,4.63,3.52,11.76,11.83,68.27,56.8,56.7,56.1,56.5,56.3,40.6,62.8,55.3,27.0,37.2,73.4,0,0,1,1
WHR,Whirlpool Corporation,https://logo.clearbit.com/whirlpoolcorp.com,210.63,18.0,7.0,7.0,5.0,2.0,60,4.87,11.88,28.45,31.24,23.54,23.18,14.07,26.38,15.2,21.16,88.2,92.6,82.2,84.5,81.9,86.1,90.0,98.3,98.5,89.6,93.7,0,0,1,1
XEL,Xcel Energy Inc.,https://logo.clearbit.com/xcelenergy.com,64.0,29.0,16.0,9.0,4.0,1.0,49,8,8,21,24,39,24,14,25,15,21,79.9,79.8,90.4,81.2,82.1,92.6,83.4,90.9,96.9,95.4,86.7,0,1,0,1
XLNX,"Xilinx, Inc.",https://logo.clearbit.com/xilinx.com,153.78,19.0,5.0,6.0,8.0,1.0,36,3,4,15,29,48,5,6,15,14,61,38.2,40.7,38.6,35.8,31.0,1.0,62.8,46.9,25.3,6.1,73.4,0,1,0,1
ZTS,Zoetis Inc.,https://logo.clearbit.com/zoetis.com,198.49,18.0,1.0,8.0,9.0,1.0,34,3,4,22,20,50,3,5,15,16,61,47.1,47.6,33.1,46.1,45.8,38.4,27.1,52.2,28.9,16.7,28.7,1,1,0,0
