ticker,minority_pct,primary_school,high_school,hs_diploma,some_college,bsba,income_l15,income_15_25,income_25_50,income_50_75,income_p75,pm25,ozone,nata_dieselpm,nata_cancerrisk,nata_resphi,traffic_prox,lead_paint,rmp_prox,superfund_prox,hazardwaste_prox,waterdischarge_prox
LHX,24%,"1,058 (2.85%)","2,239 (6.02%)","11,419 (30.72%)","12,340 (33.2%)","10,117 (27.22%)","2,938 (14.24%)","2,832 (13.73%)","4,959 (24.04%)","3,894 (18.88%)","6,007 (29.12%)",54.8,55.4,49.7,53.8,53.1,32.2,47.9,40.9,40.5,33.0,33.5
LRCX,75%,,,,,,,,,,,93.6,90.4,86.0,89.3,90.5,96.0,68.5,93.4,91.2,96.4,85.2
LEG,28%,"1,428 (13.48%)","1,172 (11.06%)","3,424 (32.31%)","2,639 (24.9%)","1,933 (18.24%)",760 (12.84%),689 (11.64%),"2,213 (37.39%)",992 (16.76%),"1,264 (21.36%)",46.8,47.1,44.7,46.6,45.8,35.3,30.7,7.3,32.8,37.0,18.2
LEN,93%,"11,055 (8.48%)","13,767 (10.56%)","36,949 (28.35%)","29,775 (22.84%)","38,801 (29.77%)","7,048 (13.22%)","5,355 (10.04%)","13,935 (26.14%)","10,571 (19.83%)","16,406 (30.77%)",97.6,94.8,99.1,97.9,98.3,99.4,62.8,81.8,95.3,84.1,73.4
LMT,34%,"1,446 (2%)","1,671 (2%)","7,328 (10%)","10,696 (14%)","54,843 (72%)","1,806 (4%)","1,416 (3%)","4,969 (12%)","5,780 (13%)","29,073 (68%)",56.6,56.5,49.3,55.9,55.8,13.6,62.8,57.0,55.2,43.5,73.4
LOW,16%,479 (2.78%),605 (3.51%),"3,277 (19.03%)","5,363 (31.15%)","7,493 (43.52%)",617 (6.31%),599 (6.12%),"1,752 (17.9%)","2,022 (20.66%)","4,795 (49%)",30.9,31.4,25.6,24.8,21.7,8.3,36.1,32.3,32.9,27.3,27.4
MPC,12%,560 (2%),"2,204 (10%)","8,359 (37%)","6,784 (30%)","4,940 (22%)","2,303 (15%)","1,995 (13%)","4,575 (30%)","3,056 (20%)","3,238 (21%)",22.7,23.3,25.8,29.8,31.5,6.2,7.9,6.1,44.2,13.0,26.9
MA,40%,"5,208 (8.74%)","3,145 (5.28%)","11,423 (19.17%)","10,304 (17.29%)","29,509 (49.52%)","2,263 (7.41%)","1,997 (6.54%)","3,879 (12.71%)","3,976 (13.03%)","18,407 (60.31%)",34.6,32.2,19.4,31.5,31.0,12.0,62.8,38.0,31.6,22.3,33.8
MKC,29%,726 (3%),677 (2.8%),"4,211 (17.41%)","5,742 (23.74%)","12,836 (53.07%)",956 (6.82%),793 (5.65%),"2,722 (19.41%)","2,727 (19.45%)","6,826 (48.67%)",34.7,34.4,22.1,35.1,34.9,10.7,26.3,37.1,36.6,2.7,39.5
MRK,59%,"9,998 (6.65%)","8,879 (5.91%)","45,959 (30.59%)","38,364 (25.54%)","47,038 (31.31%)","5,819 (7.72%)","5,769 (7.65%)","13,815 (18.32%)","12,989 (17.22%)","37,022 (49.09%)",7.1,9.5,1.2,6.9,6.1,0.1,0.1,18.6,6.2,1.0,24.3
MGM,66%,"14,294 (13%)","15,432 (14%)","34,886 (32%)","28,769 (26%)","15,338 (14%)","12,165 (18%)","11,288 (17%)","21,009 (32%)","11,660 (18%)","10,304 (16%)",58.2,58.1,56.3,57.8,57.8,46.0,51.6,57.9,58.2,48.0,23.0
MU,15%,43 (.61%),224 (3.16%),"1,152 (16.26%)","2,119 (29.9%)","3,554 (50.15%)",236 (6%),178 (4.53%),629 (16%),667 (16.96%),"2,222 (56.51%)",4.4,2.2,24.4,4.0,2.4,12.3,44.3,2.1,28.4,8.7,11.7
MSFT,43%,"1,615 (3%)","1,854 (3%)","7,777 (12%)","14,918 (24%)","36,646 (58%)","2,662 (7%)","2,054 (5%)","6,426 (17%)","6,542 (17%)","20,113 (53%)",78.1,77.4,86.6,82.9,83.5,88.5,62.8,82.3,80.8,85.0,73.4
MRNA,39%,"17,694 (5.22%)","13,806 (4.07%)","40,984 (12.08%)","39,467 (11.63%)","227,300 (67%)","31,985 (15.36%)","14,107 (6.77%)","27,853 (13.38%)","25,937 (12.46%)","108,361 (52.04%)",77.1,79.7,89.6,80.3,86.1,93.2,93.3,94.7,80.2,98.8,88.0
MHK,27%,541 (10.98%),610 (12.38%),"1,682 (34.15%)","1,410 (28.62%)",679 (13.78%),308 (11.77%),260 (9.94%),925 (35.36%),463 (17.7%),660 (25.23%),95.2,94.4,88.2,96.0,95.7,88.0,79.9,92.4,77.0,85.2,80.6
MS,41%,"45,772 (4.76%)","36,032 (3.74%)","109,718 (11.4%)","116,490 (12.11%)","654,268 (67.99%)","64,789 (10.65%)","40,072 (6.59%)","74,878 (12.31%)","69,567 (11.43%)","359,207 (59.03%)",56.5,56.7,34.8,55.2,53.8,22.3,49.8,55.1,44.9,0.5,20.9
NWL,39%,"1,464 (2%)",947 (2%),"6,871 (12%)","11,706 (20%)","38,360 (65%)","2,918 (8%)","2,778 (7%)","8,231 (21%)","6,671 (17%)","18,020 (47%)",59.2,59.1,59.7,59.2,59.2,66.2,62.9,58.9,58.5,61.5,78.6
NKE,33%,"5,204 (4.93%)","4,801 (4.55%)","17,897 (16.97%)","31,142 (29.53%)","46,421 (44.02%)","4,140 (7.1%)","3,949 (6.77%)","11,787 (20.21%)","11,029 (18.91%)","27,430 (47.02%)",78.3,74.9,80.9,77.8,78.6,89.1,77.1,69.1,80.0,82.9,88.9
