ticker,total,environmental,social,governance,controversy
ROP,20.0,1.0,14.0,5.0,0.0
ROST,15.0,2.0,8.0,6.0,2.0
RCL,21.0,9.0,8.0,4.0,3.0
SPGI,13.0,2.0,6.0,5.0,1.0
CRM,11.0,0.0,7.0,4.0,2.0
SBAC,15.0,3.0,6.0,5.0,0.0
SLB,24.0,7.0,10.0,7.0,1.0
STX,11.0,2.0,4.0,5.0,1.0
SEE,20.0,14.0,3.0,4.0,2.0
SRE,30.0,15.0,9.0,6.0,3.0
NOW,17.0,1.0,9.0,6.0,1.0
SHW,29.0,12.0,11.0,6.0,2.0
SPG,15.0,5.0,4.0,6.0,1.0
SWKS,33.0,15.0,10.0,8.0,0.0
SNA,31.0,9.0,14.0,8.0,1.0
SO,34.0,16.0,11.0,7.0,2.0
LUV,31.0,10.0,15.0,6.0,2.0
SWK,27.0,6.0,13.0,8.0,1.0
SBUX,21.0,3.0,13.0,4.0,2.0
STT,23.0,2.0,12.0,9.0,2.0
STE,,,,,
SYK,31.0,4.0,15.0,12.0,3.0
SIVB,29.0,2.0,13.0,14.0,0.0
SYF,19.0,0.0,12.0,7.0,1.0
SNPS,14.0,1.0,9.0,4.0,0.0
SYY,12.0,2.0,5.0,5.0,2.0
TMUS,23.0,3.0,13.0,7.0,3.0
TROW,20.0,2.0,12.0,6.0,2.0
TTWO,,,,,
TPR,14.0,1.0,7.0,5.0,2.0
TGT,15.0,2.0,8.0,5.0,3.0
TEL,16.0,7.0,5.0,5.0,1.0
TDY,,,,,
TFX,29.0,5.0,17.0,8.0,2.0
TER,19.0,7.0,6.0,6.0,0.0
TSLA,30.0,3.0,17.0,10.0,3.0
TXN,20.0,9.0,5.0,6.0,2.0
TXT,36.0,10.0,18.0,8.0,2.0
COO,21.0,3.0,11.0,7.0,2.0
HIG,18.0,2.0,7.0,9.0,2.0
HSY,26.0,11.0,10.0,5.0,3.0
MOS,36.0,16.0,12.0,8.0,2.0
TRV,19.0,1.0,7.0,11.0,1.0
DIS,15.0,0.0,7.0,8.0,2.0
TMO,14.0,2.0,6.0,6.0,3.0
TJX,15.0,2.0,7.0,6.0,2.0
TSCO,14.0,3.0,7.0,4.0,2.0
TT,16.0,8.0,3.0,5.0,2.0
TDG,40.0,11.0,20.0,8.0,2.0
TRMB,13.0,3.0,4.0,6.0,0.0
TFC,,,,,
TWTR,20.0,3.0,10.0,7.0,3.0
TYL,,,,,
TSN,37.0,13.0,13.0,10.0,4.0
USB,30.0,2.0,16.0,12.0,3.0
UDR,13.0,4.0,4.0,5.0,0.0
ULTA,17.0,4.0,7.0,6.0,1.0
UAA,16.0,2.0,8.0,6.0,2.0
UA,,,,,
UNP,25.0,9.0,12.0,4.0,2.0
